episode,ec_count,tm_count,lr_count,cc_count,late_frac,rule_R1,rule_R2,rule_R3_count,stat_flag,negative_rule_dropped,final_classification
C1E001,1,24,3,5,0.1212,False,False,1,False,False,no_flag
C1E002,1,22,9,1,0.0909,False,False,1,False,False,no_flag
C1E003,0,12,4,0,0.125,False,False,0,False,False,no_flag
C1E004,1,28,1,3,0.3333,False,False,1,False,False,no_flag
C1E005,2,16,1,5,0.25,False,False,2,False,False,no_flag
C1E006,2,20,2,0,0.2083,False,False,2,False,False,no_flag
C1E007,3,11,2,2,0.3333,False,False,3,False,False,lr_x2_absence
C1E008,1,13,2,1,0.1176,False,False,1,False,False,no_flag
C1E009,2,22,6,3,0.2424,False,False,2,False,False,no_flag
C1E010,2,29,2,1,0.1765,False,False,2,False,False,no_flag
C1E011,1,19,4,3,0.3704,False,False,1,False,False,no_flag
C1E013,1,20,4,3,0.25,False,False,1,False,False,no_flag
C1E014,0,30,19,3,0.2308,False,False,0,True,False,stat_outlier_only
C1E016,1,26,3,2,0.2188,False,False,1,False,False,no_flag
C1E017,4,26,3,4,0.3514,False,False,4,True,False,lr_x2_absence
C1E018,0,33,4,4,0.1951,False,False,0,False,False,no_flag
C1E019,2,25,4,2,0.4242,False,False,2,False,False,no_flag
C1E020,2,24,3,3,0.1562,False,False,2,False,False,no_flag
C1E021,2,17,9,1,0.2414,False,False,2,False,False,no_flag
C1E022,1,47,6,5,0.1017,False,False,1,True,False,stat_outlier_only
C1E023,2,32,7,3,0.3636,False,False,2,False,False,no_flag
C1E024,0,47,6,6,0.3051,False,False,0,True,False,stat_outlier_only
C1E025,4,13,1,1,0.1579,False,False,4,True,False,lr_x2_absence
C1E027,2,53,9,5,0.2464,False,False,2,True,False,stat_outlier_only
C1E028,1,43,4,5,0.2264,False,False,1,False,False,no_flag
C1E029,2,30,7,3,0.1429,False,False,2,False,False,no_flag
C1E030,2,20,1,4,0.2963,False,False,2,False,False,no_flag
C1E031,3,18,6,4,0.1935,False,False,3,False,False,lr_x2_absence
C1E032,2,30,4,7,0.186,False,False,2,False,False,no_flag
C1E033,3,31,4,0,0.1579,False,False,3,False,False,lr_x2_absence
C1E034,1,31,2,3,0.1622,False,False,1,False,False,no_flag
C1E035,1,21,3,1,0.6154,False,False,1,True,False,stat_outlier_only
C1E036,0,19,4,5,0.1429,False,False,0,False,False,no_flag
C1E037,1,48,11,1,0.1311,False,False,1,True,False,stat_outlier_only
C1E038,0,32,7,4,0.2558,False,False,0,False,False,no_flag
C1E039,2,38,4,4,0.2708,False,False,2,False,False,no_flag
C1E040,1,11,3,0,0.4667,False,False,1,False,False,no_flag
